materialnummer;bezeichnung
242;ALT!!!IOC-Lederetui 15er Satz,9501/11
243;ALT!!!IOC-Lederetui 10er Satz,9502/12
244;ALT!!!IOC-Lederetui  5er Satz,9503/13
245;ALT!!!IOC-Lederetui  3er Satz,9504/14
246;ALT!!!IOC-Lederetui  2er Satz,9505/15
247;ALT!!!IOC-Lederetui 1 x Gold ,9506/16
248;ALT!!!IOC-Lederetui 1x Silber,9507-08/17
250;Etui D40mm 1000 S 800J.Münze Au Proof
253;ALT!!!800J.Münze 1000S Pille Pt999,5
255;ALT!!!Etui f.200 Kronen 60x60
257;ALT!!!200 Tschech.Kr.Silber PP HW
259;ALT!!!Schuber 500 S Pannon. Region PP
261;ALT!!!Schuber 500 S Flußregion PP
263;ALT!!!Schuber Kleinmünzensatz 1994
267;ALT!!!200 Tschech Kr.Erzbistum Ag PP HW
270;ALT!!IOC-Frankreich 15er Ergän. 2 Silber
271;ALT!!!IOC-Frankreich 10er Erg, 2Silber
272;ALT!!IOC-Frankreich 5er Ergänzung, 1Gold
276;ALT!!!IOC-Frankreich 2er Satz Silber
277;ALT!!!IOC-Frankreich 1 Münze Gold
278;ALT!!!IOC-Frankreich 1 Münze A Silber
280;ALT!!!IOC-15er Schuber 9501/6
281;ALT!!!IOC-10er Schuber 9502/7
282;ALT!!!IOC-5er & 3er Schuber 9503-04/8
283;ALT!!!IOC-2er Schuber 9505/9
284;ALT!!!IOC-1er Schuber 9506-08/10
286;ALT!!!IOC-10er Holzetui 9512/22
287;ALT!!!IOC-5er Holzetui 9513/23
288;ALT!!!IOC-3er Holzetui 9514/24
289;ALT!!!IOC-2er Holzetui 9515/25
290;ALT!!!IOC-Silber 1er Holzetui 9516/26
292;ALT!!!IOC-15er Einlage 9501/29
293;ALT!!!IOC-10er Einlage 9502/30
294;"Schuber 100 S ""Erste Republik"" AG Proof"
295;ALT!!!Schuber 1000S 50J.2.Republik Au PP
296;ALT!!!Schuber 100S Leopold III Ag PP
297;ALT!!Schuber 500S Heinri.2 JasomirgottPP
298;"ALT!!!Schuber 1000S ""Ostarrichi"" AU PP"
299;Holzetui f. alle 5 Größen Au Wr. Phil.
300;Feingoldbarren 1 g kinebar
301;Feingoldbarren 1g kinebar MÖ
302;Feingoldbarren 2 g
303;Feingoldbarren 2g MÖ
304;Feingoldbarren 5 g kinebar
305;Feingoldbarren 5g kinebar MÖ
306;Feingoldbarren 10 g kinebar
307;Feingoldbarren 10g kinebar MÖ
308;Feingoldbarren 20 g
309;Feingoldbarren 20g MÖ
310;Feingoldbarren 50 g
311;Feingoldbarren 50g MÖ
312;Feingoldbarren 100 g
313;Feingoldbarren 100g MÖ
314;Feingoldbarren 250 g
315;Feingoldbarren 250g MÖ
316;Feingoldbarren 500 g
317;Feingoldbarren 500g MÖ
318;Feingoldbarren 1.000 g
319;Feingoldbarren 1.000 g MÖ
321;ALT!!!Damenring 1/10 Oz Philharmoniker
322;ALT!!!Anhänger 1/2 Oz Philharmoniker
323;ALT!!2 Ohrstecker 1/10 Oz Philharmoniker
327;ALT!!!Etui für EU-Münze 500 S Holz
329;ALT!!!Herren Ring 1/10 Oz Philharmoniker
330;ALT!!!Anhänger 1/4 Oz Philharmoniker
331;ALT!!!Anhänger 1/10 Oz Philharmoniker
332;ALT!!!2 Manschetten 1/10 Oz Philharm.
333;ALT!!!Krawattenhalt.1/10 Oz Philharm.
334;ALT!!!Collier 1/4 Oz Philharmoniker
335;ALT!!!Banknotenhalter 1/4 Oz Philharm.
336;ALT!!!Brosche 1/10 Oz Philharmoniker
337;ALT!!!Schlüsselanhäger 1/2 Oz Philharm.
339;ALT!!!Schuber Kleinmünzensatz 1995
340;ALT!!!Blister Kleinmünzensatz
341;ALT!!!Karton Innenteil Kleinmünzens.1995
343;ALT!!!Schuber 500 S Alpenvorland PP
344;ALT!!!IOC-Griech. 15er Ergän. 1 Gold
345;ALT!!!IOC-Griech.15er Erg.1Gold+2Silber
346;ALT!!!IOC-Griech. 15er Ergän. 2 Silber
347;ALT!!!IOC-Griech. 10er Ergän. 2 Silber
348;ALT!!!IOC-Griech. 5er Ergän. 1 Gold
349;ALT!!!IOC-Griech. 3er Etui 1 Gold
350;ALT!!!IOC-Griech. 3er Satz 2Silber+1Gold
351;ALT!!!IOC-Griech. 3er Etui 2 Silber
352;ALT!!!IOC-Griech. 2er Etui 2 Silber
354;ALT!!!IOC-Griech. 1 Münze A Silber
355;ALT!!!IOC-Griech. 1 Münze B Silber
356;ALT!!100Tenge 150J.Abaj Mutter/Kind AgPP
357;ALT!!100Tenge 150J.Abaj Paar/Schauk.AgPP
358;ALT!!100Tenge 150J.Abaj Reiter/FalkeAgPP
359;ALT!!!100Tenge 100J.Abaj Mann/Hütte AgPP
360;ALT!!!100Tenge 150J.Abaj Moschee AgPP
361;ALT!!!Doserl f. .32
362;ALT!!!Doserl f. .25
363;Doserl D21  OT+UT                    B
364;Doserl D16 OT+UT
368;ALT!!!Schuber 500 S Mühlviertel PP
369;ALT!!!Schuber 500 S Städte PP
371;ALT!!!Schuber Kleinmünzensatz 1996
372;ALT!!!Karton Innenteil Klm.Satz 1996
393;Baden Sportmed.Bronze D60
397;Exekutiv-Med. Br.vers.(30 Jahre) D40
402;Dr.J.Bick-Ehrenmed.  Br.pat. D80
428;Med. Loge Pytagoras 5eckig Br.pat.
430;Loge Mozart Br.pat. D50,20
455;Amt Steir.LR/Wartinger-Med. D45,Br
459;Laak./Sportehrenzeichen Bronze D50
460;Laakirchen f.bes.Verdienste D50 Br.
463;Laak./Sportehrenzeichen-Nadel Br.D10
464;Bischöfl.Ord.Eisenst./Martin-M.vers. D80
514;Prof. Ludwig Prokop 80/59 Br.pat.
522;Sturm/Taufmedaille Bronze pat. D40
570;Linz/Kultur-Anstecknadel Br.vers. D15
571;Linz/Wirschafts-Ansteckn. Br.vers. D15
572;Linz/Humanitäts-Anstecknadel Br.vers.
645;Porträt Prof. Winkler Br.pat. D60
712;NÖ L-LWK/f.Verdienste BR verg lack D45
731;Etuis D50 + Nadel D12(GÖD) Eidechsp.rot
760;NÖ Bauernbund/Ing.L.Figl Au900 D28
762;Durch Wasserkraft-Medaille Au750/170 D25
810;Zobl Sternzeichen kl. Ag900 D30
825;Kremser Pfennig Ag900  D22 5g
831;Broschierung Ag925 0,9g
859;Loge Pilgram Ag999  D70
905;Bügeln Ag900
906;WK-Wien,Mitarbeitermed. Bronze pat. D50
907;WK-Wien - Mitarbeitermed. Br.vers. D70
908;WK-Wien - Mitarbeitermed. Br.verg. D70
909;WK-Wien Ehrenmedaille  D70 Bronze
912;WK-Wien Ehrenmedaille  D80 Bronze
933;Österr.Geol.Ges./Ed.Suess D65 Br.roh
935;Med. HS f.Musik u. darst. Kunst 70mm
937;Th.Weippl-Med. Österr.Imkerbund Br. D60
955;Stefanskirche neuer Text .40 Erzd
1159;Franz Schubert  Bronze D75 175g
1216;Beethoven  Br.pat.  D40 mm
1317;Johann Strauß Br.pat. D40 eins.
1509;Gebäude Münze Österreich . 70 mm
1645;ALT!!!Etui D20
1646;Etui Dukaten 2x1fach rot
1650;Etui Dukaten 10x1fach rot
1651;Etui Goldsatz HGM rot
1655;Etui D40 blau
1656;Etui D45 Eidechspapier rot
1657;Etui D50 Eidechspapier rot
1658;Etui D55 Eidechspapier rot
1659;Etui D60 Eidechspapier grün
1660;Etui D65 Eidechspapier blau
1661;Etui D70 Eidechspapier rot
1662;Etui D75 rot
1663;Etui D80 Eidechspapier blau
1668;Etui Dukaten 1x4 u. 2x1fach rot
1669;Etui Dukaten 1x4 u. 3x1fach rot
1679;ALT!!!Halbetuis
1688;ALT!!!Hartplastiketui . 34mm
1689;ALT!!!Etui D20
1709;ALT!!!Etui f.Schlüsselanhänger
1713;ALT!!!Etui-Einsätze
1714;Etui D30 f. 1/2 Unze Eidechspapier rot
1826;Taufmedaille Ag900 (Prinz) D40,50
1833;Lorbeerkranz AG900  D70
1842;Kalendermedaille 1933 Ag900 D40
1851;Christophorus  Ag900 28g
1854;Kalendermedaille 1934 Ag900 D40
1868;Kalendermedaille 1935 Ag900 D40
1871;Kalendermedaille 1936 Ag900 D40
1872;Kalendermedaille 1937 Ag900 D40
1873;Kalendermedaille 1938 Ag900 D40
1881;Kalendermedaille 1946 Ag900 D40
1882;Kalendermedaille 1947 Ag900 D40
1883;Kalendermedaille 1948 Ag900 D40
1888;Kalendermedaille 1949 Ag900 D40
1889;Kalendermedaille 1950 Ag900 D40
1892;Kalendermedaille 1951 Ag900 D40
1893;Kalendermedaille 1952 Ag900 D40
1894;Kalendermedaille 1953 Ag900 D40
1896;Kalendermedaille 1954 Ag900 D40
1897;Kalendermedaille 1955 Ag900 D40
1898;Kalendermedaille 1956 Ag900 D40
1901;Kalendermedaille 1957 Ag900 D40
1902;Kalendermedaille 1958 Ag900 D40
1903;Kalendermedaille 1959 Ag900 D40
1905;Kalendermedaille 1960 Ag900 D40
1906;Kalendermedaille 1961 Ag900 D40
1907;Kalendermedaille 1962 Ag900 D40
1908;Kalendermedaille 1963 Ag900 D40
1912;Kalendermedaille 1964 Ag900 D40
1913;Kalendermedaille 1965 Ag900 D40
1914;Kalendermedaille 1966 Ag900 D40
1916;Kalendermedaille 1967 Ag900 D40
1917;Kalendermedaille 1968 Ag900 D40
1918;Kalendermedaille 1969 Ag900 D40
1920;Kalendermedaille 1970 Ag900 D40
1921;Kalendermedaille 1971 Ag900 D40
1922;Kalendermedaille 1972 Ag900 D40
1924;Kalendermedaille 1973 Ag900 D40
1925;Kalendermedaille 1974 Ag900 D40
1926;Kalendermedaille 1975 Ag900 D40
1927;Kalendermedaille 1976 Ag900 D40
1928;Kalendermedaille 1977 Ag900 D40
1929;Kalendermedaille 1978 Ag900 D40
1930;Kalendermedaille 1979 Ag900 D40
1935;Kalendermedaille 1980 Ag900 D40
1938;Kalendermedaille 1981 Ag900 D40
1939;Kalendermedaille 1982 Ag900 D40
1941;Kalendermedaille 1983 Ag900 D40
1946;Kalendermedaille 1984 Ag900 D40
1947;Kalendermedaille 1985 Ag900 D40
1948;Kalendermedaille 1986 Ag900 D40
1949;Kalendermedaille 1987 Ag900 D40
1953;Kalendermedaille 1988 Ag900 D40
1955;Münze Österreich-Gebäude D70 Ag900 (HMA)
1956;Münze Österreich-Gebäude D50 Ag900 (HMA)
1959;Kalendermedaille 1989 Ag900 D40
1960;Kalendermedaille 1990 Ag900 D40
1963;Kalendermedaille 1991 Ag900 D40
1994;"Porträt""Ambrosi"" Ag900 D60 112g"
2005;ÖFI/Hermann Mark  Ag900 D60
2008;Staatspr.f.Land-u.Forstw. Br 50x40 pat.
2010;Rokitansky-Med. Ag900 pat D65
2017;ALT!!!Ronde Br.roh D75 233g s6
2078;Ronde Au986,1 D20 10g
2093;Attrappe 1 Unze
2195;Ronde Br D18  3,25g S1,6 ROH
2246;Vöcklabruck/Anstecknadel BrD15 patiniert
2249;Vöcklabruck/Verdienstmed BrD50 patiniert
2258;Sturm/Firmmedaille Bronze D40
2260;Kremser Pfennig  D22 Au900 6g
2269;Zobl/Mozart-Taler  899/900  Ag900 D67
2271;ALT!!!Etui Plastik blau
2314;ALT!!!Münzdose für 1 Unze 10Stk.
2315;ALT!!!Münzdose für 1/4 Unzen 20 Stk.
2320;"Laakirchen ""15J"" Dienstmed. Br.pat.D35"
2340;ALT!!!Etui D130
2344;ALT!!!Etui für 4 x S 500.- mit Logo
2345;ALT!!!Etui für 1 x D35mm Hartplastik
2349;OKAY/Rochdale-Med. Ag900 D50 60g
2350;ALT!!!Etui für 1 Stk.500 S blau
2397;Kalendermedaille 1992 Ag900 D40
2447;Baden Kl.Sportmed. Bronze D25,20
2456;ALT!!!Etui rot OeNB-Logo D20
2457;ALT!!!Präsentationsmappen A4 mit Logo
2463;Henry Dunant-1fach Au900 D20,00 3,5g
2464;Henry Dunant-3fach Au900 D26 10,5g
2465;Henry Dunant-5fach Au900 D32,00  17,5g
2478;Ehrenzeichen Uni Wien Br.verg.
2493;Ronde Cu D25 9,7g
2553;Welttaler VII. Ag900 D54
2597;Hugo Wolf  D70 Br.pat.
2624;ALT!!!Etui D45 mit Vertiefung
2633;Clemens Krauss Med. Ag925 D65
2643;Karl Pick Med. Ag900 D45 53g
2644;Karl Pick Med. Ag900 verg. D45 53g
2647;ALT!!! Etui D37 mit Golddruck
2655;HMA-Medaille D70 Ag900
2657;Kalendermedaille 1993 Ag900 D40
2664;ALT!!!Ronde/Gazelle Aluminium D39 9g
2666;ALT!!!Ronde/Gazelle Aluminium D43 11,5g
2672;Joh.Strauß/Adler D40 Br.vergoldet
2673;Joh.Strauß/Adler Nadeln D21 Br.vergoldet
2704;Clemens Krauss Med. Br D65 verg.
2705;Etui D25 Eidechspapier grün 60x60
2774;Alles Gute  Br.vers.  D75
2803;Kalendermedaille 1994 Ag900 D40
2811;Verdienstmed.Stadt Innsbruck D40 Br.verg
2812;Anstecknadel Stadt Innsbruck D20 Br.verg
2823;Linzer Kulturmed. Ag900 D65
2824;Linzer Wirtschaftsmed. Ag900 D65
2825;Linzer Humanitätsmed. Ag900 D65
2831;M.Theresia mit Anhänger D35 Ag900 23g
2844;NÖ L-LWK/f.Verdienste BR pat lack D45
2851;ALT!!!Etui 130x85 blau/glasklar (MTT)
2859;Ronde Ag999 D40 22g
2862;ALT!!!Etui Kunststoff 75x70
2865;Chorverband NÖ und Wien D46 Br.roh
2866;BM f.WA Grubenabz. m.Band  D40 Br.pat.
2868;Stmk.GKK Gedenkmed. Ag900/vergo. D30 13g
2902;Göd Medaille  Ag925 D50
2903;Göd Medaille  Ag925/verg. D50
2905;Göd Anstecknadel  Ag925 D12
2906;Göd Anstecknadel  Ag925/verg. D12
2908;Theresianische Akademie  D39  Bronze
2909;Th.Akademie/M.Theresia D39 Br.verg./663
2911;Welttourismus-Spiele D70 Br. veredelt
2924;ALT!!!ETUI Austrian Bankers Club
2935;Kalendermedaille 1995 Ag900 D40
2942;Loge Gleichheit/Pressburg ca.40x35 Br.
2944;ALT!!!Etui Samt grün D75
2955;Bijous Paracelsus Villach 65x70 Br.pat.
2984;Paracelsus Ag999 D55 96,1g
2987;Buch: Demokratie der Könige
2988;"""Geld"" Ausstellungskatalog"
3007;Grinzing Gulden/Mozart Ag900 15g
3011;Ronde Br D21,3  7g HS
3014;Raiffeisen-Mühldorf Med. D40 Ag925
3017;Akademie Theresia Bronze versilb. D40
3026;Wr.Städt.Vers.25J.Dienstjub. Ag900 D35
3032;Wien/Rathausmann  D75  Br.verg.
3033;Wien/Rathausmann  D75  Br.vers.pat.
3047;BMI/Verwundeten-Med. Br.verg. D40
3048;BMI/Verwundeten-Med. Br.vers. D40
3058;Bregenzer Stadtwappen Cu.pat. D63
3069;Lapislazuli u.1/10 Philharmoniker
3076;Ronde Ag900 D30 10g GST KP
3084;Kalendermedaille 1996 Ag900 D40
3086;Österreich Med.  Br.vers.pat.,D75
3091;Jakob Prandtauer LogenMed. Ag900 D60
3101;Raiffeisen Med./NÖ f.bes.Verd. Ag999 D30
3104;Loge Gleichheit 70x55 Br.
3110;Diamantetui D40 Einlage rot
3116;Broschierung klein Ag935
3117;Swarovski Medaille  Bronze D70 pat.
3126;Mitarbeiter Med. WK.Bgld. D50 Br.pat.
3130;Verdienst Med. WK.Bgld. D70 Br.pat.
3131;WK-BGLD/Verdienst-Med. D80 Br.vers.
3132;WK-BGLD/Verdienst-Med. D80 Br.verg.
3136;ALT!!!Nadel  55mm Ag935
3140;Grödig Wappenmed. Silber Br.vers. D74,70
3141;Grödig Anstecknadel Silber Br.vers. D18
3142;Grödig Wappenmed. Bronze Br.pat. D74,70
3143;Anstecknadel Grödig Bronze Br.pat. D18
3154;Schlüsselanhänger Österreich Ag999
3159;ALT!!!Etui Hörbiger-Med.D40 80x80
3161;NÖ L-LWK/f.Verdienste BR vers lack D60,7
3168;SDP/Pandurmedaille  D35 Au750/170 30g
3176;Ronde Ag999 D39,75 30g GST KP
3186;ALT!!!Etui f.Schlüsselanh.Deckel durchs.
3206;WK Tirol/Bes.Verdienste Ag900 D60
3209;WK-Ö/Gr.Goldene Ehrenmed.  Au750/170 D50
3221;Zell/See Verdienste um Kultur D63 Ag900
3222;Mozarteum/Paumgartner Med. D60 Br.pat.
3223;Mozarteum/Lilli Lehmann Med. D70 Br.pat.
3230;Diamantetui D16 Einlage rot (1/10 Unze)
3257;Vedienstmed. Gresten D30 Ag900
3269;Bijoux-Wildgänse D50 Ag900
3270;"Etui ""Grubenabzeichen"" rot m. Golddruck"
3311;ALT!!!Bechergläser 600 ml
3312;ALT!!!Handwaschpaste CAPO Sorte G
3315;ALT!!!Lacke
3316;Energiesparlampe 220V/E27/20W
3317;Glühlampe klar 220V/E27/60W
3318;ALT!!!Leuchtstofflampe TLD 58
3319;ALT!!!Müllsäcke, 120 l, gelb
3320;ALT!!!Papierhandtücher
3325;ALT!!!Toilette-Papier, 3-lg.,150 Blatt,
3327;ALT!!!Allzweckreiniger
3330;Bleistift Härte 2H
3331;Büroklammern 26 mm
3332;"ALT!! Disketten 3,5"", HD, formatiert"
3333;ALT!! Druckerpapier Blatt 1fach
3334;Farbband PELIKAN 13mm x 6m rot/schwarz
3335;ALT!!!Kuvert C5 mit Fenster, LOGO links
3336;ALT!!!Filzstifte LUX 525M
3337;Heftklammern SAX 24/6 verkupfert
3340;VERPACKUNGSBAND TESA 4124 25mm/66m
3341;ALT!!!Klebstoff Uhu Tube
3342;ALT!! RX-Kopierfolie,DIN A4,transparent
3343;Kopierpapier A3, 80g, weiß
3344;Kopierpapier A4, 80g, weiß
3345;Druckkugelschreiber blau mit Clip
3346;ALT!! Kuvert C6 ohne Fenster
3348;ALT!!Leerformulare 2-fach Blatt NL2412/2
3349;ALT!!!Leerformulare 3-fach Bl.NL 2412/3
3350;ALT!!!Notizblöcke kariert A5
3351;Ordner breit (7 cm), Farbe grau
3352;ALT!!!Hefte kariert A6
3354;ALT!!!Telefaxpapier Deckblatt
3355;Bechergläser 250 ml (mit Ausguß)
3356;ALT!!! Tipp-Ex fluid, 25ml, ArtNr. 4910
3357;ALT!!! Toner f. HP Deskjet 4 92298A
3358;Addingrolle 57/70/12 mm
3359;ALT!!!Drucksorten
3360;ALT!!!Abzweigklemmen EKL II
3361;Essigsäure 80 % techn.
3362;Goldbadverstärkersalz MO 50%
3363;Natriumhypochloritlauge
3364;ALT!!!Becher 150 ccm b
3365;ALT!!!Polysulfid
3366;Salpetersäure 53% techn.
3367;Salzsäure chem.rein 37%
3368;Salzsäure techn. 30-33%
3369;ALT!!!schwefelige Säure 6%
3370;Schwefelsäure 96 % chem.rein
3371;ALT!!!Silberbad H 137 R
3372;ALT!!!Salpetersäure p.A. 65%
3373;Ammoniaklösung techn. 25%
3375;ALT!!!Ankor 1127/3 Zusatzlösung Chrombad
3376;Ätznatron techn. rein
3377;ALT!!!Entchromung elektrolytisch
3378;Entfettungssalz Radikal 1012
3379;ALT!!!Feroclean A5
3380;ALT!!!Ferr 3 Chlorat OAB CR
3381;Waschmittel OH93, hollu Super Weiss G.V.
3383;Kaliumhydroxyd chem.rein Plättchen
3384;ALT!!!Natriumacetat
3385;Natriumdisulfit 38%
3386;ALT!!!Streusalz, Flamil Eisfrei
3388;Trinatriumphosphat 12 H2O
3389;Weinstein chem. rein
3390;ALT!!!Zusatz HVCR-Badchemie
3391;ALT!!! Zusatzmittel T2000 AFC
3392;Aceton
3393;Ethanol 96%, reinst
3394;Stabilisator f. Buntmetallbeize
3395;Methanol techn.
3396;Petroleum 5 Litergebinde, Art.Nr. 40148
3397;Spiritus
3399;ALT!!!ELASTOSIL 4640 + Vernetzer
3402;ALT!!!BRANSON GP
3403;Debus - Spray (400 ml)
3404;Entschäumer P3-Cronisol 674
3405;ALT!!!Fluid A Sprühmittel
3406;ALT!!!Kühlmittel ISOGRIND 180
3407;ALT!!!Kühlmittel ISOPAL - KN
3408;LUSIN ALRO OL151 - Spray
3409;P3-Prevox 7400
3410;Perlucid RE 2814 AEK
3411;ALT!!!PLICAST 40 TR/HX
3412;ALT!!!Plistix Demon AS
3413;Reiniger P3-Neutrapon 5088 /1 Kan.=31 kg
3414;ALT!!!Rostschutz P3-Prevor 740
3415;Ecocut 8535 S
3416;ALT!!!Tro-Fix Wasserverdrängungsmittel
3417;VPE Metallprotektorplus-Spray
3418;ALT!!!Bechergläser 800 ml
3419;Formiergas 70% N2 30% H2 Flaschen
3420;ALT!!!PE-Flaschen 500 ml
3421;Stickstoff techn.rein Flaschen á 50l
3422;Stickstoff Tankfüllung
3423;Wasserstoff 5.0 (Flaschen)
3424;ALT!!!Azetylen /Füllung Eigenflasche
3425;Argon 4.6 á 50 Liter
3426;ALT!!!Sauerstoff /Eigenflasche füllen
3427;ALT!!!Abdeckplatten
3428;ALT!!!PE-Flaschen 250 ml
3429;ALT!!!Agip Blasia 220 Getriebeöl
3430;ALT!!!Agip Blasia 680 Getriebeöl
3431;ALT!!!Agip Exidia 220
3432;ALT!!!AGIP Exidia 68
3433;Chrom-Zusatz Fumetrol 21 LF2
3434;ALT!!!Agip OSO 10
3435;ALT!!!Castrol Rustilo DWX10
3436;ALT!!!Hydrauliköl N 46
3437;AGIP Hydrauliköl OSO 46
3438;AGIP Hydrauliköl OSO VG 32
3439;ALT!!!Klüber Isoflex Super LDS 18
3440;ALT!!!Klüberpaste Altemp JNB 50
3442;ALT!!!Kühlmittel Kocher PM 6-1
3443;ALT!!!Molykote
3444;ALT!!!Meßkolben 50 ml
3445;Spezialschneideöl S 91 Sprayline
3446;ALT!!Shell Alvania EP2 Lithiumseifenfett
3447;ALT!!!Shell Tellus Öl C 10
3453;ALT!!!Smilax 300
3454;ALT!!!Agip Arnica S 46 Hydrauliköl
3455;ALT!!!PE-Flaschen 100 ml
3456;Diamantpaste DP20 6 my 5g-Spritzen
3457;Diamantpaste DP20 9 my 5g-Spritzen
3458;Diamantpaste DP20 12 my 5g-Spritzen
3459;ALT!!!Filzplättchen RO 71
3460;ALT!!!Filzscheiben selbstkl. 15x2
3461;Folienband 30mm/125my/750m transp.
3462;ALT!!!Klarsichtfolie FILMOLUX 100
3465;ALT!!!Polierpaste f. Stahlwalzen grün
3467;Poliersteine Plexiglas LP10,4x7x150
3468;ALT!!!Polierstab Lp 14 4x7x150
3469;ALT!!!Strahlkorund ALODUR M6 DSTI
3470;Strahlmittel MS 550 BT
3471;Struers AP-Paste SQ fein
